HITId	WorkerId	Input.src	Input.trg	Input.item	hit	sys_id	rid	type	sid	score	time
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	0	BAD_REF	111	-3.37393559649855	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	1	REF	138	1.04806133886532	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	2	SYSTEM	594	-0.105503079055692	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	3	SYSTEM	15	-1.35519786513678	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	4	REF	666	1.04806133886532	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	5	SYSTEM	688	0.0867576572644761	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	6	REF	594	1.04806133886532	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	7	BAD_REF	999	-3.71039188505884	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	8	SYSTEM	896	-0.153568263135734	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	9	SYSTEM	451	0.279018393584644	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	10	SYSTEM	575	-0.53808973577607	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	11	SYSTEM	277	-3.6623267009788	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	12	SYSTEM	331	1.04806133886532	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	13	SYSTEM	648	0.999996154785274	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	14	REPEAT	673	0.279018393584644	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	15	SYSTEM	536	-0.00937271089560786	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	16	SYSTEM	448	0.134822841344518	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	17	SYSTEM	211	-0.153568263135734	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	18	SYSTEM	1022	0.519344313984854	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	19	SYSTEM	164	0.807735418465106	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	20	SYSTEM	64	0.0386924731844341	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	21	REPEAT	211	-0.105503079055692	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	22	SYSTEM	1034	0.327083577664686	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	23	SYSTEM	188	-0.153568263135734	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	24	SYSTEM	138	-0.105503079055692	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	25	SYSTEM	103	0.999996154785274	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	26	SYSTEM	108	0.519344313984854	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	27	SYSTEM	718	-0.153568263135734	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	28	SYSTEM	775	-0.730350472096238	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	29	REF	451	1.04806133886532	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	30	SYSTEM	632	0.855800602545148	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	31	BAD_REF	64	-0.153568263135734	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	32	SYSTEM	746	-0.00937271089560786	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	33	REF	567	1.04806133886532	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	34	SYSTEM	262	0.230953209504602	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	35	REF	293	1.04806133886532	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	36	SYSTEM	713	0.759670234385064	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	37	BAD_REF	648	-0.826480840256322	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	38	REPEAT	182	-0.682285288016196	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	39	SYSTEM	232	-0.153568263135734	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	40	REPEAT	446	0.999996154785274	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	41	SYSTEM	666	-0.153568263135734	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	42	SYSTEM	999	0.18288802542456	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	43	REPEAT	110	0.999996154785274	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	44	SYSTEM	673	0.471279129904812	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	45	BAD_REF	688	-1.01874157657649	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	46	SYSTEM	1051	0.567409498064896	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	47	SYSTEM	672	0.711605050305022	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	48	REPEAT	1051	0.66353986622498	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	49	SYSTEM	1016	0.375148761744728	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	50	BAD_REF	896	-1.21100231289666	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	51	SYSTEM	16	-1.2590674969767	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	52	SYSTEM	467	0.807735418465106	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	53	SYSTEM	883	0.951930970705232	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	54	REF	632	1.04806133886532	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	55	BAD_REF	386	-1.2590674969767	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	56	SYSTEM	173	-0.00937271089560786	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	57	REPEAT	672	0.759670234385064	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	58	SYSTEM	1012	-0.201633447215776	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	59	SYSTEM	890	-0.249698631295818	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	60	SYSTEM	408	0.66353986622498	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	61	SYSTEM	297	-0.153568263135734	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	62	SYSTEM	767	-0.201633447215776	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	63	REPEAT	70	-0.586154919856112	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	64	SYSTEM	567	0.279018393584644	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	65	SYSTEM	411	0.519344313984854	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	66	BAD_REF	890	-2.65295783529792	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	67	REPEAT	550	0.134822841344518	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	68	SYSTEM	96	-0.922611208416406	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	69	SYSTEM	161	-0.29776381537586	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	70	SYSTEM	110	1.04806133886532	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	71	REF	784	1.04806133886532	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	72	SYSTEM	796	-1.21100231289666	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	73	SYSTEM	816	-0.105503079055692	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	74	SYSTEM	518	-0.00937271089560786	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	75	SYSTEM	293	-0.105503079055692	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	76	REPEAT	161	0.375148761744728	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	77	SYSTEM	783	-0.153568263135734	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	78	SYSTEM	182	-0.826480840256322	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	79	SYSTEM	529	1.04806133886532	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	80	SYSTEM	661	-0.201633447215776	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	81	SYSTEM	550	0.375148761744728	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	82	SYSTEM	508	1.04806133886532	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	83	SYSTEM	867	0.327083577664686	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	84	SYSTEM	251	0.471279129904812	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	85	SYSTEM	386	0.471279129904812	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	86	REF	467	1.04806133886532	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	87	REF	1022	1.04806133886532	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	88	SYSTEM	446	1.04806133886532	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	89	SYSTEM	350	-0.0574378949756498	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	90	SYSTEM	111	-0.153568263135734	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	91	BAD_REF	297	-1.2590674969767	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	92	SYSTEM	113	0.999996154785274	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	93	SYSTEM	784	0.711605050305022	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	94	SYSTEM	98	-1.01874157657649	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	95	BAD_REF	411	-1.40326304921683	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	96	SYSTEM	438	1.04806133886532	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	97	SYSTEM	443	0.375148761744728	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	98	SYSTEM	517	-0.0574378949756498	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	99	SYSTEM	70	-0.105503079055692	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0003	en	es	ad	0	all	0	SYSTEM	529	0.757182150682216	1455
3JGHED38EDNUB4E0744OR03LMAHY70	F0003	en	es	ad	0	all	1	SYSTEM	796	0.321906286689304	1455
3JGHED38EDNUB4E0744OR03LMAHY70	F0003	en	es	ad	0	all	2	REF	451	0.796752683772481	1455
3JGHED38EDNUB4E0744OR03LMAHY70	F0003	en	es	ad	0	all	3	BAD_REF	111	0.282335753599039	1455
3JGHED38EDNUB4E0744OR03LMAHY70	F0003	en	es	ad	0	all	4	BAD_REF	64	-1.14220343765049	1455
3JGHED38EDNUB4E0744OR03LMAHY70	F0003	en	es	ad	0	all	5	REPEAT	672	0.598900018321157	1455
3JGHED38EDNUB4E0744OR03LMAHY70	F0003	en	es	ad	0	all	6	BAD_REF	297	-1.18177397074076	1455
3JGHED38EDNUB4E0744OR03LMAHY70	F0003	en	es	ad	0	all	7	REF	594	0.796752683772481	1455
3JGHED38EDNUB4E0744OR03LMAHY70	F0003	en	es	ad	0	all	8	SYSTEM	648	0.757182150682216	1455
3JGHED38EDNUB4E0744OR03LMAHY70	F0003	en	es	ad	0	all	9	SYSTEM	110	0.757182150682216	1455
3JGHED38EDNUB4E0744OR03LMAHY70	F0003	en	es	ad	0	all	10	SYSTEM	1034	0.0449125550574507	1455
3JGHED38EDNUB4E0744OR03LMAHY70	F0003	en	es	ad	0	all	11	SYSTEM	451	0.282335753599039	1455
3JGHED38EDNUB4E0744OR03LMAHY70	F0003	en	es	ad	0	all	12	SYSTEM	188	-0.54864544129652	1455
3JGHED38EDNUB4E0744OR03LMAHY70	F0003	en	es	ad	0	all	13	SYSTEM	232	-1.53790876855314	1455
3JGHED38EDNUB4E0744OR03LMAHY70	F0003	en	es	ad	0	all	14	SYSTEM	96	-1.41919716928234	1455
3JGHED38EDNUB4E0744OR03LMAHY70	F0003	en	es	ad	0	all	15	SYSTEM	251	0.796752683772481	1455
3JGHED38EDNUB4E0744OR03LMAHY70	F0003	en	es	ad	0	all	16	REPEAT	182	0.321906286689304	1455
3JGHED38EDNUB4E0744OR03LMAHY70	F0003	en	es	ad	0	all	17	REPEAT	70	-0.0737990442133435	1455
3JGHED38EDNUB4E0744OR03LMAHY70	F0003	en	es	ad	0	all	18	REPEAT	110	0.757182150682216	1455
3JGHED38EDNUB4E0744OR03LMAHY70	F0003	en	es	ad	0	all	19	SYSTEM	1012	-0.62778650747705	1455
3JGHED38EDNUB4E0744OR03LMAHY70	F0003	en	es	ad	0	all	20	SYSTEM	113	0.440617885960098	1455
3JGHED38EDNUB4E0744OR03LMAHY70	F0003	en	es	ad	0	all	21	BAD_REF	411	-0.825639172928374	1455
3JGHED38EDNUB4E0744OR03LMAHY70	F0003	en	es	ad	0	all	22	SYSTEM	293	0.638470551411422	1455
3JGHED38EDNUB4E0744OR03LMAHY70	F0003	en	es	ad	0	all	23	REPEAT	550	0.796752683772481	1455
3JGHED38EDNUB4E0744OR03LMAHY70	F0003	en	es	ad	0	all	24	SYSTEM	567	0.440617885960098	1455
