HITId	WorkerId	Input.src	Input.trg	Input.item	hit	sys_id	rid	type	sid	score	time
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	0	BAD_REF	111	8	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	1	REF	138	100	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	2	SYSTEM	594	76	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	3	SYSTEM	15	50	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	4	REF	666	100	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	5	SYSTEM	688	80	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	6	REF	594	100	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	7	BAD_REF	999	1	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	8	SYSTEM	896	75	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	9	SYSTEM	451	84	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	10	SYSTEM	575	67	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	11	SYSTEM	277	2	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	12	SYSTEM	331	100	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	13	SYSTEM	648	99	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	14	REPEAT	673	84	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	15	SYSTEM	536	78	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	16	SYSTEM	448	81	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	17	SYSTEM	211	75	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	18	SYSTEM	1022	89	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	19	SYSTEM	164	95	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	20	SYSTEM	64	79	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	21	REPEAT	211	76	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	22	SYSTEM	1034	85	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	23	SYSTEM	188	75	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	24	SYSTEM	138	76	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	25	SYSTEM	103	99	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	26	SYSTEM	108	89	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	27	SYSTEM	718	75	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	28	SYSTEM	775	63	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	29	REF	451	100	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	30	SYSTEM	632	96	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	31	BAD_REF	64	75	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	32	SYSTEM	746	78	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	33	REF	567	100	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	34	SYSTEM	262	83	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	35	REF	293	100	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	36	SYSTEM	713	94	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	37	BAD_REF	648	61	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	38	REPEAT	182	64	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	39	SYSTEM	232	75	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	40	REPEAT	446	99	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	41	SYSTEM	666	75	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	42	SYSTEM	999	82	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	43	REPEAT	110	99	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	44	SYSTEM	673	88	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	45	BAD_REF	688	57	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	46	SYSTEM	1051	90	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	47	SYSTEM	672	93	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	48	REPEAT	1051	92	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	49	SYSTEM	1016	86	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	50	BAD_REF	896	53	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	51	SYSTEM	16	52	3660
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	all	52	SYSTEM	467	95	3660
