HITId	WorkerId	src	trg	item	hit work-seconds	accept	submit	approval
3JGHED38EDNUB4E0744OR03LMAHY70	F0028	en	es	ad	0	671	"Mon Nov 21 08:26:47 2016"	"Mon Nov 21 08:37:58 2016"	Rejected
3JGHED38EDNUB4E0744OR03LMAHY70	F0032	en	es	ad	0	1302	"Mon Nov 21 14:00:09 2016"	"Mon Nov 21 14:21:51 2016"	Submitted
3JGHED38EDNUB4E0744OR03LMAHY70	F0002	en	es	ad	0	3660	"Mon Nov 21 07:14:35 2016"	"Mon Nov 21 08:15:35 2016"	Submitted
3JGHED38EDNUB4E0744OR03LMAHY70	F0003	en	es	ad	0	1455	"Mon Nov 21 07:47:17 2016"	"Mon Nov 21 08:11:32 2016"	Submitted
3MDKGGG61QJFQI11EOCXD5BACXFT67	F0017	en	es	ad	1	1913	"Mon Nov 21 06:14:00 2016"	"Mon Nov 21 06:45:53 2016"	Submitted
3MDKGGG61QJFQI11EOCXD5BACXFT67	F0016	en	es	ad	1	5184	"Mon Nov 21 03:39:33 2016"	"Mon Nov 21 05:05:57 2016"	Submitted
3MDKGGG61QJFQI11EOCXD5BACXFT67	F0040	en	es	ad	1	756	"Mon Nov 21 07:52:54 2016"	"Mon Nov 21 08:05:30 2016"	Submitted
3B9XR6P1WERRIRMRYLF1MFATSWZJBD	F0028	en	es	ad	2	509	"Mon Nov 21 08:38:28 2016"	"Mon Nov 21 08:46:57 2016"	Rejected
3B9XR6P1WERRIRMRYLF1MFATSWZJBD	F0023	en	es	ad	2	2840	"Mon Nov 21 09:55:54 2016"	"Mon Nov 21 10:43:14 2016"	Submitted
3B9XR6P1WERRIRMRYLF1MFATSWZJBD	F0008	en	es	ad	2	3928	"Mon Nov 21 13:17:00 2016"	"Mon Nov 21 14:22:28 2016"	Submitted
3B9XR6P1WERRIRMRYLF1MFATSWZJBD	F0043	en	es	ad	2	3791	"Mon Nov 21 10:11:43 2016"	"Mon Nov 21 11:14:54 2016"	Submitted
3O4VWC1GEW2MFWIEJS0V4WCH44N3J7	F0041	en	es	ad	3	2320	"Mon Nov 21 05:01:58 2016"	"Mon Nov 21 05:40:38 2016"	Submitted
3O4VWC1GEW2MFWIEJS0V4WCH44N3J7	F0017	en	es	ad	3	1656	"Mon Nov 21 06:46:18 2016"	"Mon Nov 21 07:13:54 2016"	Submitted
3O4VWC1GEW2MFWIEJS0V4WCH44N3J7	F0001	en	es	ad	3	811	"Mon Nov 21 08:26:02 2016"	"Mon Nov 21 08:39:33 2016"	Submitted
3ZZAYRN1I6N5FO75EKYRU5X1XX9OTR	F0038	en	es	ad	4	1899	"Mon Nov 21 05:04:11 2016"	"Mon Nov 21 05:35:50 2016"	Submitted
3ZZAYRN1I6N5FO75EKYRU5X1XX9OTR	F0001	en	es	ad	4	3571	"Mon Nov 21 08:39:37 2016"	"Mon Nov 21 09:39:08 2016"	Submitted
3ZZAYRN1I6N5FO75EKYRU5X1XX9OTR	F0033	en	es	ad	4	2204	"Mon Nov 21 09:12:55 2016"	"Mon Nov 21 09:49:39 2016"	Submitted
3ABAOCJ4R804N5U1K0PJXWX9IQVQM0	F0001	en	es	ad	5	1258	"Mon Nov 21 07:23:25 2016"	"Mon Nov 21 07:44:23 2016"	Submitted
3ABAOCJ4R804N5U1K0PJXWX9IQVQM0	F0023	en	es	ad	5	1888	"Mon Nov 21 07:59:36 2016"	"Mon Nov 21 08:31:04 2016"	Submitted
