rep_id,a_type,wid,hit,src,trg,item,sys,sid,rep_type,score_a,time_a,score_b,time_b
0,intra,F0017,3MDKGGG61QJFQI11EOCXD5BACXFT67,en,es,ad,all,659,sys_sys,24,1913,23,1913
0,intra,F0022,35F6NGNVM8FYUIF6XYHPJJB678ZT76,en,es,ad,all,559,sys_sys,19,1433,100,1433
0,intra,F0023,3ABAOCJ4R804N5U1K0PJXWX9IQVQM0,en,es,ad,all,620,sys_sys,96,1888,40,1888
0,intra,F0003,3JGHED38EDNUB4E0744OR03LMAHY70,en,es,ad,all,182,sys_sys,11,1455,88,1455
0,intra,F0031,31KPKEKW4A9KGLL5CD5V4AVXUT90BG,en,es,ad,all,413,sys_sys,8,5174,9,5174
0,intra,F0006,3CVDZS288HW7WG4S6KEPLXTVCSIFM0,en,es,ad,all,130,sys_sys,50,1014,25,1014
0,intra,F0027,3DGDV62G7O5TGPPTA5RAIIT18V82PN,en,es,ad,all,882,sys_sys,15,1190,41,1190
0,intra,F0031,3BPP3MA3TCGVKKMBBXT432T60OWLE9,en,es,ad,all,759,sys_sys,7,4223,11,4223
0,intra,F0014,3ABAOCJ4R804N5U1K0PJXWX9IQVQM0,en,es,ad,all,705,sys_sys,82,1717,77,1717
0,intra,F0001,3O4VWC1GEW2MFWIEJS0V4WCH44N3J7,en,es,ad,all,231,sys_sys,89,811,75,811
0,intra,F0014,3KG2UQJ0MJKA5NF1W14JABM9NG5QN0,en,es,ad,all,351,sys_sys,55,3632,60,3632
0,intra,F0023,37M4O367VJEFUJB3081GZL2IMU8M5J,en,es,ad,all,281,sys_sys,99,2174,100,2174
0,intra,F0000,3L2OEKSTW96YBIJJH9WU50ZGXUNY8N,en,es,ad,all,607,sys_sys,38,424,32,424
0,intra,F0045,31MBOZ6PAONGNM2XF6N9DET3FCJLCG,en,es,ad,all,673,sys_sys,82,2673,23,2673
0,intra,F0037,31YWE12TE085BZOQ28IM8MWCL8J7X8,en,es,ad,all,386,sys_sys,19,612,59,612
0,intra,F0017,3O4VWC1GEW2MFWIEJS0V4WCH44N3J7,en,es,ad,all,677,sys_sys,66,1656,72,1656
0,intra,F0014,3KG2UQJ0MJKA5NF1W14JABM9NG5QN0,en,es,ad,all,857,sys_sys,51,3632,49,3632
0,intra,F0031,3P888QFVX3QSN8FDXG4WP0MEEWPQO7,en,es,ad,all,845,sys_sys,26,4911,37,4911
0,intra,F0027,3DGDV62G7O5TGPPTA5RAIIT18V82PN,en,es,ad,all,327,sys_sys,96,1190,97,1190
0,intra,F0014,3B286OTISEDMZHHZS7F5R4QNAEEJAI,en,es,ad,all,346,sys_sys,47,1606,42,1606
0,intra,F0035,3HEM8MA6H98A88RECGHBE0R4O1LQPO,en,es,ad,all,754,sys_sys,76,3578,88,3578
