wid hit.count mean.bad.ref mean.sys.out mean.ref min.hit.time mean.hit.time mean.concurrent max.concurrent max.const.seq.len reject.rate scores.flag time.flag seq.flag reject.flag 
F0020 1 58.7 79.9 100 1212 1212 1 1 5 0 - - - - 
F0041 1 4.2 45.8 100 2320 2320 1 1 3 0 - - - - 
F0015 1 29.1 37.5 97.2 2296 2296 1 1 2 0 - - - - 
F0019 1 40.2 63.3 100 2288 2288 1 1 2 0 - - - - 
F0035 2 42.6 55.4 92.6 769.5 1279.2 2 2 3 0 - - - - 
F0023 4 37.8 65.1 97.8 1888 2410.5 1 1 4 0 - - - - 
F0040 2 85 84.1 84.8 698 727 1 1 3 0 flag(scrs) - - - 
F0009 1 58.8 73.7 99.7 1978 1978 1 1 3 0 - - - - 
F0021 1 36.6 68.6 100 4993 4993 1 1 3 0 - - - - 
F0010 1 84.1 89.2 97.7 1523 1523 1 1 4 0 - - - - 
F0027 3 28.1 56.8 94.9 733 1327.7 1 1 2 0 - - - - 
F0030 1 68 67.9 57.5 1211 1211 1 1 3 0 flag(scrs) - - - 
F0039 2 57.7 77.5 97.8 1365 1433 1 1 3 0 - - - - 
F0038 7 22 54.4 97.1 870 1888 1 1 4 0 - - - - 
F0031 11 20.5 42.1 92.1 331.7 1607.8 3.1 4 3 0 - - - - 
F0017 2 13 42.2 92.5 1656 1784.5 1 1 2 0 - - - - 
F0008 1 42.2 66.2 100 3928 3928 1 1 3 0 - - - - 
F0028 7 85.8 85.3 85.1 163 402.1 1 1 13 1 flag(scrs) flag(time) flag(seq) flag(rej) 
F0011 1 57.8 67.5 100 4303 4303 1 1 2 0 - - - - 
F0024 3 41.3 53.8 100 1380 2078.7 1 1 7 0 - - - - 
F0034 1 52.5 70.2 99.9 2297 2297 1 1 4 0 - - - - 
F0029 1 13.3 31.9 84.6 2531 2531 1 1 4 0 flag(scrs) - - - 
F0002 2 42.9 79.4 100 3655 3657.5 1 1 3 0 - - - - 
F0033 1 22.9 53.6 99.1 2204 2204 1 1 3 0 - - - - 
F0025 3 30.5 65 98.3 1067 1581.7 1 1 2 0 - - - - 
F0014 3 37.5 65.3 97.2 1606 2318.3 1 1 3 0 - - - - 
F0044 1 56 68.3 87.3 3844 3844 1 1 2 0 flag(scrs) - - - 
F0043 1 73.3 82 99.4 3791 3791 1 1 7 0 - - - - 
F0003 2 54.1 79.7 99.7 1455 1761 1 1 3 0 - - - - 
F0032 1 60.2 66.7 99.9 1302 1302 1 1 31 0 - - flag(seq) - 
F0026 3 48.9 50.7 60.8 195 220.3 1 1 5 1 flag(scrs) flag(time) - flag(rej) 
F0045 1 24 61.4 92.4 2673 2673 1 1 2 0 - - - - 
F0005 1 75.1 79.9 90.2 1386 1386 1 1 6 0 - - - - 
F0004 1 31 51.3 95.5 2931 2931 1 1 2 0 - - - - 
F0036 1 55.9 52.8 82.5 596 596 1 1 2 0 flag(scrs) - - - 
F0006 1 35.1 66.6 93.7 1014 1014 1 1 2 0 - - - - 
F0022 5 49 73.9 92.1 1158 1281.6 1 1 3 0 - - - - 
F0007 1 58.5 82.6 99.3 2035 2035 1 1 3 0 - - - - 
F0042 1 68.4 79 100 1465 1465 1 1 2 0 - - - - 
F0037 5 57.5 63.6 93.3 159.5 509.5 1.8 2 2 0 - flag(time) - - 
F0000 1 54.5 55.6 60.6 424 424 1 1 2 0 flag(scrs) - - - 
F0018 1 31.3 53.9 86.4 1955 1955 1 1 2 0 flag(scrs) - - - 
F0012 1 24.5 54.2 100 3456 3456 1 1 2 0 - - - - 
F0016 1 67.7 89.9 99.7 5184 5184 1 1 8 0 - - - - 
F0013 1 72 72.8 76.3 965 965 1 1 3 0 flag(scrs) - - - 
F0001 11 72.9 81.6 96 393.5 1287.4 1.2 2 6 0 - - - - 
