HITId	WorkerId	Input.src	Input.trg	Input.item	hit	sys_id	rid	type	sid	score	time
391FPZIE4CIANK07ACTBFSM24RAUHC	F0029	en	es	ad	0	all	0	SYSTEM	784	42	2110
391FPZIE4CIANK07ACTBFSM24RAUHC	F0029	en	es	ad	0	all	1	SYSTEM	718	62	2110
391FPZIE4CIANK07ACTBFSM24RAUHC	F0029	en	es	ad	0	all	2	SYSTEM	1022	100	2110
391FPZIE4CIANK07ACTBFSM24RAUHC	F0029	en	es	ad	0	all	3	SYSTEM	64	79	2110
391FPZIE4CIANK07ACTBFSM24RAUHC	F0029	en	es	ad	0	all	4	BAD_REF	890	79	2110
391FPZIE4CIANK07ACTBFSM24RAUHC	F0029	en	es	ad	0	all	5	SYSTEM	567	24	2110
391FPZIE4CIANK07ACTBFSM24RAUHC	F0029	en	es	ad	0	all	6	SYSTEM	70	24	2110
391FPZIE4CIANK07ACTBFSM24RAUHC	F0029	en	es	ad	0	all	7	SYSTEM	262	34	2110
391FPZIE4CIANK07ACTBFSM24RAUHC	F0029	en	es	ad	0	all	8	SYSTEM	15	27	2110
391FPZIE4CIANK07ACTBFSM24RAUHC	F0029	en	es	ad	0	all	9	REF	467	99	2110
391FPZIE4CIANK07ACTBFSM24RAUHC	F0029	en	es	ad	0	all	10	SYSTEM	575	61	2110
391FPZIE4CIANK07ACTBFSM24RAUHC	F0029	en	es	ad	0	all	11	SYSTEM	408	82	2110
391FPZIE4CIANK07ACTBFSM24RAUHC	F0029	en	es	ad	0	all	12	BAD_REF	688	5	2110
391FPZIE4CIANK07ACTBFSM24RAUHC	F0029	en	es	ad	0	all	13	SYSTEM	775	0	2110
391FPZIE4CIANK07ACTBFSM24RAUHC	F0029	en	es	ad	0	all	14	SYSTEM	251	89	2110
391FPZIE4CIANK07ACTBFSM24RAUHC	F0029	en	es	ad	0	all	15	BAD_REF	999	0	2110
391FPZIE4CIANK07ACTBFSM24RAUHC	F0029	en	es	ad	0	all	16	REF	138	100	2110
391FPZIE4CIANK07ACTBFSM24RAUHC	F0029	en	es	ad	0	all	17	SYSTEM	438	100	2110
391FPZIE4CIANK07ACTBFSM24RAUHC	F0029	en	es	ad	0	all	18	SYSTEM	350	51	2110
391FPZIE4CIANK07ACTBFSM24RAUHC	F0029	en	es	ad	0	all	19	SYSTEM	113	99	2110
391FPZIE4CIANK07ACTBFSM24RAUHC	F0029	en	es	ad	0	all	20	SYSTEM	767	0	2110
391FPZIE4CIANK07ACTBFSM24RAUHC	F0029	en	es	ad	0	all	21	REF	567	48	2110
391FPZIE4CIANK07ACTBFSM24RAUHC	F0029	en	es	ad	0	all	22	REPEAT	211	13	2110
391FPZIE4CIANK07ACTBFSM24RAUHC	F0029	en	es	ad	0	all	23	REF	632	100	2110
