HITId	WorkerId	src	trg	item	hit work-seconds	accept	submit	approval
391FPZIE4CIANK07ACTBFSM24RAUHC	F0003	en	es	ad	0	352	"Wed Nov 23 07:20:51 2016"	"Wed Nov 23 07:26:43 2016"	Rejected
391FPZIE4CIANK07ACTBFSM24RAUHC	F0036	en	es	ad	0	1473	"Wed Nov 23 07:07:36 2016"	"Wed Nov 23 07:32:09 2016"	Rejected
391FPZIE4CIANK07ACTBFSM24RAUHC	F0029	en	es	ad	0	2110	"Wed Nov 23 10:49:57 2016"	"Wed Nov 23 11:25:07 2016"	Submitted
391FPZIE4CIANK07ACTBFSM24RAUHC	F0021	en	es	ad	0	1705	"Wed Nov 23 13:17:21 2016"	"Wed Nov 23 13:45:46 2016"	Submitted
391FPZIE4CIANK07ACTBFSM24RAUHC	F0011	en	es	ad	0	1978	"Wed Nov 23 06:04:00 2016"	"Wed Nov 23 06:36:58 2016"	Approved
391FPZIE4CIANK07ACTBFSM24RAUHC	F0040	en	es	ad	0	5311	"Wed Nov 23 11:15:50 2016"	"Wed Nov 23 12:44:21 2016"	Submitted
391FPZIE4CIANK07ACTBFSM24RAUHC	F0006	en	es	ad	0	1652	"Wed Nov 23 04:57:31 2016"	"Wed Nov 23 05:25:03 2016"	Rejected
3XBXDSS888F4QKDS62JWRREDFQ0XLE	F0026	en	es	ad	1	2670	"Wed Nov 23 06:02:29 2016"	"Wed Nov 23 06:46:59 2016"	Rejected
3XBXDSS888F4QKDS62JWRREDFQ0XLE	F0039	en	es	ad	1	1695	"Wed Nov 23 09:16:35 2016"	"Wed Nov 23 09:44:50 2016"	Submitted
3XBXDSS888F4QKDS62JWRREDFQ0XLE	F0005	en	es	ad	1	819	"Wed Nov 23 06:39:33 2016"	"Wed Nov 23 06:53:12 2016"	Approved
3XBXDSS888F4QKDS62JWRREDFQ0XLE	F0002	en	es	ad	1	926	"Wed Nov 23 08:12:37 2016"	"Wed Nov 23 08:28:03 2016"	Approved
3XBXDSS888F4QKDS62JWRREDFQ0XLE	F0004	en	es	ad	1	2018	"Wed Nov 23 05:31:19 2016"	"Wed Nov 23 06:04:57 2016"	Approved
3D1TUISJWIWAJFBRGUBWF4NH44PUI5	F0010	en	es	ad	2	1417	"Wed Nov 23 06:38:28 2016"	"Wed Nov 23 07:02:05 2016"	Approved
3D1TUISJWIWAJFBRGUBWF4NH44PUI5	F0027	en	es	ad	2	2085	"Wed Nov 23 06:29:00 2016"	"Wed Nov 23 07:03:45 2016"	Approved
3D1TUISJWIWAJFBRGUBWF4NH44PUI5	F0021	en	es	ad	2	1573	"Wed Nov 23 09:05:47 2016"	"Wed Nov 23 09:32:00 2016"	Submitted
3D1TUISJWIWAJFBRGUBWF4NH44PUI5	F0006	en	es	ad	2	3482	"Wed Nov 23 06:49:50 2016"	"Wed Nov 23 07:47:52 2016"	Rejected
3D1TUISJWIWAJFBRGUBWF4NH44PUI5	F0037	en	es	ad	2	2285	"Wed Nov 23 09:21:27 2016"	"Wed Nov 23 09:59:32 2016"	Submitted
3D1TUISJWIWAJFBRGUBWF4NH44PUI5	F0003	en	es	ad	2	3242	"Wed Nov 23 07:26:57 2016"	"Wed Nov 23 08:20:59 2016"	Rejected
371Q3BEXDH5GZS8XRT4I0Y8JFK6ZSR	F0003	en	es	ad	3	4658	"Wed Nov 23 07:27:19 2016"	"Wed Nov 23 08:44:57 2016"	Rejected
371Q3BEXDH5GZS8XRT4I0Y8JFK6ZSR	F0037	en	es	ad	3	3933	"Wed Nov 23 11:27:06 2016"	"Wed Nov 23 12:32:39 2016"	Submitted
371Q3BEXDH5GZS8XRT4I0Y8JFK6ZSR	F0001	en	es	ad	3	528	"Wed Nov 23 08:23:16 2016"	"Wed Nov 23 08:32:04 2016"	Rejected
371Q3BEXDH5GZS8XRT4I0Y8JFK6ZSR	F0039	en	es	ad	3	1523	"Wed Nov 23 11:08:11 2016"	"Wed Nov 23 11:33:34 2016"	Submitted
371Q3BEXDH5GZS8XRT4I0Y8JFK6ZSR	F0009	en	es	ad	3	2097	"Wed Nov 23 09:53:30 2016"	"Wed Nov 23 10:28:27 2016"	Submitted
