HITId	WorkerId	Input.src	Input.trg	Input.item	hit	sys_id	rid	type	sid	score	time
391FPZIE4CIANK07ACTBFSM24RAUHC	F0003	en	es	ad	0	all	0	REPEAT	70	59	352
391FPZIE4CIANK07ACTBFSM24RAUHC	F0003	en	es	ad	0	all	1	REPEAT	446	65	352
391FPZIE4CIANK07ACTBFSM24RAUHC	F0003	en	es	ad	0	all	2	SYSTEM	277	84	352
391FPZIE4CIANK07ACTBFSM24RAUHC	F0003	en	es	ad	0	all	3	SYSTEM	816	48	352
391FPZIE4CIANK07ACTBFSM24RAUHC	F0003	en	es	ad	0	all	4	SYSTEM	550	93	352
391FPZIE4CIANK07ACTBFSM24RAUHC	F0003	en	es	ad	0	all	5	SYSTEM	331	25	352
391FPZIE4CIANK07ACTBFSM24RAUHC	F0003	en	es	ad	0	all	6	REF	138	94	352
391FPZIE4CIANK07ACTBFSM24RAUHC	F0003	en	es	ad	0	all	7	SYSTEM	448	87	352
391FPZIE4CIANK07ACTBFSM24RAUHC	F0003	en	es	ad	0	all	8	SYSTEM	211	89	352
391FPZIE4CIANK07ACTBFSM24RAUHC	F0003	en	es	ad	0	all	9	SYSTEM	775	78	352
391FPZIE4CIANK07ACTBFSM24RAUHC	F0003	en	es	ad	0	all	10	REF	594	5	352
391FPZIE4CIANK07ACTBFSM24RAUHC	F0003	en	es	ad	0	all	11	SYSTEM	883	39	352
391FPZIE4CIANK07ACTBFSM24RAUHC	F0003	en	es	ad	0	all	12	SYSTEM	182	57	352
391FPZIE4CIANK07ACTBFSM24RAUHC	F0003	en	es	ad	0	all	13	SYSTEM	96	52	352
391FPZIE4CIANK07ACTBFSM24RAUHC	F0003	en	es	ad	0	all	14	SYSTEM	666	53	352
391FPZIE4CIANK07ACTBFSM24RAUHC	F0003	en	es	ad	0	all	15	SYSTEM	161	50	352
391FPZIE4CIANK07ACTBFSM24RAUHC	F0003	en	es	ad	0	all	16	SYSTEM	110	52	352
391FPZIE4CIANK07ACTBFSM24RAUHC	F0003	en	es	ad	0	all	17	SYSTEM	783	62	352
391FPZIE4CIANK07ACTBFSM24RAUHC	F0003	en	es	ad	0	all	18	SYSTEM	567	42	352
391FPZIE4CIANK07ACTBFSM24RAUHC	F0003	en	es	ad	0	all	19	SYSTEM	164	50	352
391FPZIE4CIANK07ACTBFSM24RAUHC	F0003	en	es	ad	0	all	20	REPEAT	161	95	352
391FPZIE4CIANK07ACTBFSM24RAUHC	F0003	en	es	ad	0	all	21	SYSTEM	232	8	352
391FPZIE4CIANK07ACTBFSM24RAUHC	F0003	en	es	ad	0	all	22	REF	666	89	352
391FPZIE4CIANK07ACTBFSM24RAUHC	F0003	en	es	ad	0	all	23	SYSTEM	15	29	352
