wid hit.count mean.bad.ref mean.sys.out mean.ref min.hit.time mean.hit.time mean.concurrent max.concurrent max.const.seq.len reject.rate scores.flag time.flag seq.flag reject.flag 
F0038 1 46.3 62.5 90.1 1378 1378 1 1 4 0 - - - - 
F0015 3 32.8 47.6 88.8 1162 2537 1.3 2 4 0 flag(scrs) - - - 
F0043 1 54.1 79.6 99.7 4858 4858 1 1 2 0 - - - - 
F0021 8 78.9 88.3 99.8 1561 1729.2 1 1 13 0 - - flag(seq) - 
F0010 1 43 57.9 100 1417 1417 1 1 3 0 - - - - 
F0013 1 43 82.5 99.9 4709 4709 1 1 3 0 - - - - 
F0026 1 59.9 59.5 57.3 2670 2670 1 1 2 1 flag(scrs) - - flag(rej) 
F0042 1 37.6 56.7 96.4 1289 1289 1 1 2 0 - - - - 
F0006 8 44.5 60.3 93.4 275.3 650.2 5 6 4 1 - flag(time) - flag(rej) 
F0046 1 39.5 71.3 100 1690 1690 1 1 3 1 - - - flag(rej) 
F0031 6 18.3 52.3 97.1 1103 1409.5 1 1 5 0 - - - - 
F0005 1 17 35.1 95.2 819 819 1 1 4 0 - - - - 
F0012 1 26.2 55.6 95.1 2196 2196 1 1 2 0 - - - - 
F0032 2 63.1 79.9 100 1039 1497 1 1 3 0 - - - - 
F0040 11 22 45.1 93.8 504 1472.8 2.7 3 4 0 - - - - 
F0017 2 81.5 89.4 99 493 1142.5 1 1 4 0 - - - - 
F0009 3 56.5 76.3 100 2097 3329 1 1 3 0 - - - - 
F0035 1 21.5 53.4 100 1706 1706 1 1 3 0 - - - - 
F0007 1 46.5 75.7 99.2 1542 1542 1 1 3 0 - - - - 
F0045 1 55.6 71.9 98.8 4843 4843 1 1 2 0 - - - - 
F0027 10 47.4 54.6 99.9 938 1793.5 1 1 14 0 - - flag(seq) - 
F0036 3 27.6 44 79.6 416 1003 1.7 2 6 1 flag(scrs) - - flag(rej) 
F0004 2 50.1 64.9 95.8 2018 2430 1 1 2 0 - - - - 
F0008 1 16.1 60.5 95.1 2982 2982 1 1 4 0 - - - - 
F0028 1 12.3 45.5 100 2328 2328 1 1 2 0 - - - - 
F0016 1 26.9 59.4 99.7 1681 1681 1 1 3 0 - - - - 
F0033 1 35.6 37.4 48.4 801 801 1 1 4 0 flag(scrs) - - - 
F0041 1 14.4 33.3 84.6 3475 3475 1 1 5 0 flag(scrs) - - - 
F0018 1 43.3 79 100 1714 1714 1 1 2 0 - - - - 
F0001 2 38.5 38.2 46.2 528 724 1 1 93 1 flag(scrs) - flag(seq) flag(rej) 
F0014 1 74.3 76.9 79.6 2777 2777 1 1 3 0 flag(scrs) - - - 
F0020 1 75.1 64.8 99.8 1024 1024 1 1 7 0 flag(scrs) - - - 
F0003 13 56.8 56.3 57.9 225 396.8 8.8 12 3 1 flag(scrs) flag(time) - flag(rej) 
F0037 14 46.1 63.9 95.2 563.5 2921.2 1.1 2 5 0 - - - - 
F0044 1 81.8 67.2 100 4021 4021 1 1 5 0 flag(scrs) - - - 
F0039 21 67.3 79.6 93 208.8 484.9 3.2 5 5 0 - flag(time) - - 
F0002 1 76.5 79.3 99.5 926 926 1 1 6 0 - - - - 
F0029 2 28 68.5 97.2 1802 1956 1 1 3 0 - - - - 
F0011 1 30.6 61.3 94 1978 1978 1 1 3 0 - - - - 
F0000 1 65 60.8 100 3172 3172 1 1 6 0 flag(scrs) - - - 
F0024 2 54.4 69 99.5 2394 2586.5 1 1 4 0 - - - - 
F0022 1 49.2 76.6 100 3917 3917 1 1 2 0 - - - - 
F0019 1 58.1 74.8 100 1559 1559 1 1 5 0 - - - - 
F0030 2 59 61.2 93.5 1381 1553.5 1 1 18 1 - - flag(seq) flag(rej) 
F0023 1 34.5 68.2 100 4212 4212 1 1 4 0 - - - - 
F0034 1 46.8 75.1 96.7 1801 1801 1 1 5 0 - - - - 
F0025 6 76.5 79.7 96.9 207.5 435 1.5 2 3 1 - flag(time) - flag(rej) 
